nu_inscricao,nota_cn,nota_ch,nota_lc,nota_mt,media_aluno,nota_redacao,escola_do_aluno,escola_da_prova,faixa_etaria,tipo_escola,genero,cor_raca,sigla_estado,Estado,estado_civil,quantidade_total,quantidade_desistentes,quantidade_aplicantes,metrica_celular,metrica_computador,metrica_internet,escola_r_u,renda_mensal,lingua_estrangeira
190005685478,,508,512,,255.0,660,,Juazeiro do Norte,17 anos,null,M,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 2.495,01 até R$ 2.994,00",Inglês
190005589941,503,508,512,515,509.5,640,,Olinda,18 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"Até R$ 998,00",Espanhol
190002706045,503,508,512,515,509.5,620,,Morada Nova,Entre 26 e 30 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Não,null,"Até R$ 998,00",Espanhol
190005809325,504,508,512,516,510.0,600,,Diadema,Entre 31 e 35 anos,null,M,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 4.990,01 até R$ 5.988,00",Inglês
190002588654,504,508,512,516,510.0,580,,Uberlândia,23 anos,null,M,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 1.996,01 até R$ 2.495,00",Espanhol
190001143107,504,508,512,516,510.0,340,,Fortaleza,Entre 41 e 45 anos,null,F,Parda,,null,Casado(a)/Mora com companheiro(a),5095171,1160010,3935161,Sim,Não,Não,null,"Até R$ 998,00",Espanhol
190002183286,505,508,512,518,510.75,640,,Feira de Santana,19 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 998,01 até R$ 1.497,00",Espanhol
190003937494,504,508,512,516,510.0,480,,Altamira,20 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Sim,null,"Até R$ 998,00",Espanhol
190005965483,506,508,512,517,510.75,660,,Cuiabá,Menor de 17 anos,null,M,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 14.970,01 até R$ 19.960,00",Inglês
190001579492,503,508,512,515,509.5,920,,Mirandópolis,25 anos,null,M,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 1.497,01 até R$ 1.996,00",Inglês
190005176959,505,508,512,518,510.75,360,,São Vicente do Seridó,21 anos,null,F,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Não,Sim,null,"Até R$ 998,00",Espanhol
190003168632,505,508,512,518,510.75,780,,Muriaé,17 anos,null,F,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 2.994,01 até R$ 3.992,00",Inglês
190003703994,506,508,512,517,510.75,940,,Lorena,19 anos,null,F,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 2.994,01 até R$ 3.992,00",Inglês
190001194612,504,508,512,516,510.0,720,,Cururupu,Entre 26 e 30 anos,null,M,Parda,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 6.986,01 até R$ 7.984,00",Inglês
190004707358,505,508,512,518,510.75,900,,São Paulo,17 anos,null,F,Branca,,null,Solteiro(a),5095171,1160010,3935161,Sim,Sim,Sim,null,"De R$ 11.976,01 até R$ 14.970,00",Inglês
